"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
4938,"OAS1",4938,27520.2373773028,3.30961288354003,0.624239958354105,5.30182798977861,1.14648841077391e-07,0.000127667069377534
111216282,"LINC02574",111216282,20.9798264616279,3.8600480463705,0.732984766315253,5.26620500692687,1.39272752543872e-07,0.000140553279900511
11274,"USP18",11274,3894.70845074769,4.50856032999229,0.85749952262082,5.2577992302696,1.45789554741649e-07,0.000140553279900511
105372942,"FAM247D",105372942,118.326852986725,4.75763229767706,0.904775533169246,5.2583564909321,1.45348547514998e-07,0.000140553279900511
5359,"PLSCR1",5359,18232.5394939141,2.55609624246564,0.488515608448493,5.23237374253753,1.67346955254125e-07,0.000154882954026798
101927741,"LOC101927741",101927741,643.544812868748,4.12370898302761,0.789679690084203,5.22200207857429,1.76998982109262e-07,0.000157515478770927
10410,"IFITM3",10410,27271.978540015,3.11890562320296,0.601242940034624,5.18742993144061,2.13216107209163e-07,0.000182718306985393
129607,"CMPK2",129607,12041.5665827463,3.4053508545157,0.659439221102801,5.16401018553435,2.41714534829598e-07,0.00019974253238883
4940,"OAS3",4940,65827.1405316896,3.42318569475295,0.665138961990005,5.14657220577072,2.65289377622594e-07,0.000211664331704537
105376707,NA,105376707,196.645730356366,1.26561075998962,0.246538307856682,5.13352578344679,2.84364053577969e-07,0.000219320515722901
101930164,"LINC02555",101930164,1035.08419872121,2.804344557036,0.547935732241132,5.11801730025135,3.08764286848628e-07,0.000223255877159486
105377182,"FAM247C",105377182,68.2631712469168,4.02348023919633,0.786091777363995,5.11833395928436,3.08246437684266e-07,0.000223255877159486
127254,"ERICH3",127254,340.001625008574,4.43314044443142,0.869925964911702,5.09599738741145,3.46909910478395e-07,0.000241671274057802
6035,"RNASE1",6035,128.327089309108,3.05444558757353,0.599903240930011,5.09156373757594,3.55122453019503e-07,0.000241671274057802
219537,"SMTNL1",219537,2911.95145423381,3.26807474708678,0.643930646601,5.07519678452544,3.87095179828898e-07,0.000252554469841543
105377524,"LOC105377524",105377524,105.014605677748,2.46268828141162,0.490035264340654,5.02553277410592,5.02036816114969e-07,0.000305687575033372
8820,"HESX1",8820,403.050962788539,4.74125031983486,0.945307341658505,5.01556489714395,5.28778718877477e-07,0.000313714923009925
105379548,"LOC105379548",105379548,47.0894900784225,4.42820118602981,0.886085862010454,4.99748543101973,5.80827254022909e-07,0.000335979525089552
5610,"EIF2AK2",5610,32698.8835001176,2.16049717988453,0.433159026330493,4.98776903759153,6.10805274859184e-07,0.00034470274267541
57047,"PLSCR2",57047,85.8249924016535,1.8849963427963,0.378296493933948,4.98285438279908,6.26531006096954e-07,0.000345158914739793
