"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035455","response to interferon-alpha","7/271","21/18860",0.333333333333333,23.1980319803198,12.2888476189732,1.14596689021069e-08,1.50992597454161e-06,1.28251789228632e-06,"OAS1/IFITM3/EIF2AK2/AXL/LAMP3/BST2/MX2",7
"GO:0002230","positive regulation of defense response to virus by host","8/271","32/18860",0.25,17.3985239852399,11.2096903412274,1.27887117779514e-08,1.57301401673964e-06,1.33610432253026e-06,"TRIM6/PARP9/TRIM22/RIGI/LILRB1/DTX3L/PML/AIM2",8
"GO:0060338","regulation of type I interferon-mediated signaling pathway","9/271","45/18860",0.2,13.9188191881919,10.4759381922365,1.28935575142593e-08,1.57301401673964e-06,1.33610432253026e-06,"OAS1/USP18/OAS3/TRIM6/ISG15/IRF7/ZBP1/TREX1/STAT2",9
"GO:0002218","activation of innate immune response","22/271","362/18860",0.0607734806629834,4.22947544392571,7.491000849608,1.44587074370993e-08,1.70096365349304e-06,1.44478362285e-06,"OAS1/OAS3/EIF2AK2/RSAD2/DDX60/IRF7/OASL/IFIH1/DHX58/IFI35/PIK3AP1/ZBP1/RIGI/IFI16/LACC1/UNC93B1/AIM2/TREX1/WDFY1/TICAM1/IRF5/TRIM5",22
"GO:0032608","interferon-beta production","10/271","62/18860",0.161290322580645,11.2248541840257,9.73672955638478,1.77094280411665e-08,1.94449519892008e-06,1.65163718362879e-06,"OAS1/OAS3/OAS2/ISG15/IRF7/IFIH1/RIGI/LILRB1/TICAM1/IRF5",10
"GO:0032648","regulation of interferon-beta production","10/271","62/18860",0.161290322580645,11.2248541840257,9.73672955638478,1.77094280411665e-08,1.94449519892008e-06,1.65163718362879e-06,"OAS1/OAS3/OAS2/ISG15/IRF7/IFIH1/RIGI/LILRB1/TICAM1/IRF5",10
"GO:0002832","negative regulation of response to biotic stimulus","14/271","144/18860",0.0972222222222222,6.76609266092661,8.3863369361434,2.12984989126766e-08,2.26313727155989e-06,1.9222889680779e-06,"OAS1/USP18/OAS3/DUSP10/ISG15/SERPING1/PARP14/DHX58/GRN/IFI16/LILRB1/LGALS9/TREX1/STAT2",14
"GO:0002221","pattern recognition receptor signaling pathway","20/271","325/18860",0.0615384615384615,4.28271359636673,7.20766081848051,5.46170794297364e-08,5.62214561379849e-06,4.77540122119208e-06,"OAS1/OAS3/EIF2AK2/RSAD2/DDX60/IRF7/OASL/IFIH1/DHX58/IFI35/PIK3AP1/RIGI/IFI16/LACC1/UNC93B1/AIM2/TREX1/WDFY1/TICAM1/IRF5",20
"GO:0060759","regulation of response to cytokine stimulus","16/271","210/18860",0.0761904761904762,5.30240730978738,7.57003197687661,6.69693367579387e-08,6.68475743274697e-06,5.67797438923767e-06,"OAS1/USP18/OAS3/TRIM6/AXL/ISG15/IRF7/PARP14/IFIH1/PARP9/KLF4/ZBP1/RIGI/TREX1/IL1RN/STAT2",16
"GO:0002758","innate immune response-activating signaling pathway","20/271","342/18860",0.0584795321637427,4.06983017198593,6.91745472572246,1.25487530464711e-07,1.21575272161988e-05,1.03264970890155e-05,"OAS1/OAS3/EIF2AK2/RSAD2/DDX60/IRF7/OASL/IFIH1/DHX58/IFI35/PIK3AP1/RIGI/IFI16/LACC1/UNC93B1/AIM2/TREX1/WDFY1/TICAM1/IRF5",20
