"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
79605,"PGBD5",79605,6.12447410026467,-1.94271134028546,0.510111623435694,-3.80840437863569,0.000139866412441187,0.0116307571114037
105371926,"LOC105371926",105371926,15.4571875717263,-1.86316320741582,0.489490027531719,-3.80633537482046,0.000141041098452207,0.0116307571114037
100861532,"RNA45SN5",100861532,15346.5825255136,-1.25373095596421,0.331546728903392,-3.78146079169892,0.000155910780599602,0.0124213515846285
25825,"BACE2",25825,267.465615589085,-1.36653648534535,0.367305351453027,-3.72043717832984,0.000198878209750677,0.0147966319382377
677809,"SNORA24",677809,16.0244769551726,-1.08507278581292,0.293857478525892,-3.692513769791,0.000222048314088543,0.0158084735119407
105377752,"LOC105377752",105377752,22.45998218996,-1.18942957654322,0.321921638726233,-3.69477982669791,0.000220077405651531,0.0158084735119407
155368,"METTL27",155368,9.94965033175534,-1.42625049822839,0.38997512718489,-3.6572858082618,0.000254900106665593,0.0171292335037966
105372232,"MADCAM1-AS1",105372232,11.2728329255793,-1.19795646350642,0.327893670390032,-3.65349066385283,0.000258699199192281,0.0172106865126242
54855,"TENT5C",54855,2234.72678820444,-1.19079410032007,0.326529864350192,-3.64681528499637,0.000265510644966164,0.0174527991568951
3359,"HTR3A",3359,7.16368356160171,-1.81210291309138,0.500646934526745,-3.61952263785324,0.000295146990906704,0.0187612941637344
107985285,"LOC107985285",107985285,12.6978513035817,-1.23919566540155,0.343130693201941,-3.61143928524125,0.000304502376844309,0.0192502076377694
100420587,"LOC100420587",100420587,36.4534505917199,-1.16470106915823,0.327083223225278,-3.56087070951982,0.000369627063201182,0.0219059820682723
109864271,"RNA45SN4",109864271,11064.4727878473,-1.16524634444413,0.327535214342366,-3.55762157294672,0.000374227916578641,0.022032787617803
9717,"SEC14L5",9717,101.317002487373,-1.36576390380317,0.38698095502674,-3.52927937683341,0.000416692982086747,0.023288507776626
100874253,"LINC00853",100874253,52.9119607249403,-1.17715252758306,0.334242632819062,-3.52185033266027,0.000428546013418684,0.0233992629279969
1880,"GPR183",1880,2053.07833909036,-1.12293692341105,0.318481060899461,-3.52591428903065,0.000422023528096128,0.0233992629279969
28636,"TRBD2",28636,8.39841832064804,-1.54493285028275,0.440694638838413,-3.50567652548464,0.000455448372206067,0.024004930378369
107985495,NA,107985495,7.92457044481595,-1.98720653106259,0.566996559962782,-3.50479468727823,0.000456959534800506,0.024029840264123
100008588,"RNA18SN5",100008588,9074.28450631937,-1.22566250422947,0.35294487400914,-3.47267404766936,0.00051530077103073,0.0258074225976386
105375077,"RUNX2-AS1",105375077,8.99527207133751,-1.19285492045441,0.34389909990609,-3.46861890822089,0.000523140961143353,0.025963669274693
79901,"CYBRD1",79901,1685.61585984506,-1.06814935827906,0.313423742801948,-3.40800396527083,0.000654399437414132,0.0297475327758118
2681,"GGTA1",2681,305.241740217857,-1.22927201772604,0.361568980721106,-3.39982709599258,0.000674284767890458,0.0302943707950474
117245,"PLAAT5",117245,47.4168963792944,-1.70303817488173,0.50252881881677,-3.38893633780372,0.000701642983224657,0.0312805690671524
105378893,"LOC105378893",105378893,9.82128001235027,-1.57601589717163,0.46573610193156,-3.38392469605722,0.000714575988774278,0.0315771218474546
28599,"TRBV6-8",28599,4.47204897010687,-1.2956675607717,0.38521116194155,-3.36352548623266,0.000769537305027926,0.033219317469657
106631777,"RNA45SN1",106631777,9914.03839084823,-1.16163574780098,0.345326772353283,-3.36387399066927,0.000768566255985615,0.033219317469657
28691,"TRAV2",28691,131.04048861836,-1.10990232232557,0.330544040839589,-3.35780466501951,0.0007856411079819,0.0337257216261321
105376451,"LOC105376451",105376451,2.97116337533474,-1.84938529835994,0.553116399411595,-3.34357343287473,0.000827068018076785,0.0345930712831245
28702,"TRAJ53",28702,9.12697383167436,-2.47247853690022,0.744510643452955,-3.32094451387981,0.000897133709284109,0.0361635535982852
105377384,"LOC105377384",105377384,51.5127298888694,-1.49140279413777,0.453597617904183,-3.28794229790866,0.00100922522131004,0.0385802036987856
26011,"TENM4",26011,13.3420030727985,-2.71501896082065,0.826859744186656,-3.28353022372772,0.00102515651607105,0.0389492142345682
105376627,"LOC105376627",105376627,4.76279218542349,-1.40916347397677,0.431930340338459,-3.26247855816879,0.00110442527358053,0.0407521572152212
101929255,"LOC101929255",101929255,3.87602335421397,-2.62892500056583,0.80909326687352,-3.24922367816069,0.0011572044507365,0.041902029078468
106631781,"RNA18SN1",106631781,8404.03716248133,-1.1603175224526,0.359444142113144,-3.22808855815866,0.00124620387594368,0.0441572209518911
57105,"CYSLTR2",57105,1367.36555814911,-1.07475387113419,0.333158588036231,-3.22595277363016,0.00125554072248981,0.0443522156289605
23576,"DDAH1",23576,8.72732516666212,-1.25735464621441,0.393747038307353,-3.19330566045539,0.00140653977093752,0.0483026203612885
5376,"PMP22",5376,61.979070398236,-1.80828468513916,0.566493993920711,-3.19206329554176,0.00141260373778482,0.0483026203612885
911,"CD1C",911,407.845698628192,-1.42897163080427,0.448612266285385,-3.18531555687607,0.00144596243841555,0.0489716293791585
28586,"TRBV9",28586,276.3482681238,-1.24986532918417,0.392865316798782,-3.18140918971559,0.00146560462364691,0.0491034263815207
